class_title,class_sku,class_url,class_image
"Mixing Artistic Tools in Painting Elements: Earth, Air, Fire & Water",1100231408,https://www.skillshare.com/classes/holberton-image-search/1100231408,https://static.skillshare.com/uploads/video/thumbnails/fcc50d24a48b5fd7a48c1e2c381398c2/448-252
"Loose Watercolor Leaves - Fun and Easy Way to Paint a Botanical Frame",1250394456,https://www.skillshare.com/classes/holberton-image-search/1250394456,https://static.skillshare.com/uploads/video/thumbnails/9ca704930c4b02cbb790c45b7427cbbc/448-252
"Intuitive Illustration: 4 Quick, Fun Exercises to Unlock Creativity",1779034937,https://www.skillshare.com/classes/holberton-image-search/1779034937,https://static.skillshare.com/uploads/video/thumbnails/2b7f071d762febcb8e1f7d068a4dfdb0/448-252
"Embroidery on Photographs with 10 Simple Stitches",339182296,https://www.skillshare.com/classes/holberton-image-search/339182296,https://static.skillshare.com/uploads/video/thumbnails/eaafa11a514081819d6d28bd5d188fe1/448-252
"The Introvert’s Guide to Finding Clients as a Freelancer",1267874087,https://www.skillshare.com/classes/holberton-image-search/1267874087,https://static.skillshare.com/uploads/video/thumbnails/04f246a8fa9f82012dd14995d956d681/448-252
"Directing 101: Making a 5 Shot Film",682839170,https://www.skillshare.com/classes/holberton-image-search/682839170,https://static.skillshare.com/uploads/video/thumbnails/fd4236014419fb1bcf474140e4108ff5/448-252
"Turn Your Calligraphy Into a Work of Art",2053392041,https://www.skillshare.com/classes/holberton-image-search/2053392041,https://static.skillshare.com/uploads/video/thumbnails/ab8a7bc3cfdc200da4445a142a8732a0/448-252
"100 Day Watercolor Challenge - 5 Minute Paintings - Build a Creative Habit",1377659283,https://www.skillshare.com/classes/holberton-image-search/1377659283,https://static.skillshare.com/uploads/video/thumbnails/3d89b7c8c447678ea921158accedcc36/448-252
"Speed Up & Streamline Your Design Workflow in Adobe Illustrator",94826414,https://www.skillshare.com/classes/holberton-image-search/94826414,https://static.skillshare.com/uploads/video/thumbnails/3eb922ff58b46247b6ca09e36ca22f17/448-252
"Intro to Looom: Create Playful Looping Animations on Your iPad",1246763473,https://www.skillshare.com/classes/holberton-image-search/1246763473,https://static.skillshare.com/uploads/video/thumbnails/155c5201e558e1a6be91dbbf7ad3e91a/448-252
"Doodle Art Meets Watercolor: Paint an Abstract Net Design",280367106,https://www.skillshare.com/classes/holberton-image-search/280367106,https://static.skillshare.com/uploads/video/thumbnails/e3ad3224bb83b013e9cce6a838105630/448-252
"Growing Your Creative Business Through Instagram",495708486,https://www.skillshare.com/classes/holberton-image-search/495708486,https://static.skillshare.com/uploads/video/thumbnails/8c3aa8f2c8d39e2cb94413d5fba0efe7/448-252
"Recharge Your Creativity: 5 Techniques to Grow Your Sketching Skills",466859194,https://www.skillshare.com/classes/holberton-image-search/466859194,https://static.skillshare.com/uploads/video/thumbnails/ad2ed52c2f7311cb761425791e09d341/448-252
"Classic Pattern Styles: Learn to Design Arts and Crafts Patterns - Part 1",637805026,https://www.skillshare.com/classes/holberton-image-search/637805026,https://static.skillshare.com/uploads/video/thumbnails/6929fed217be3ef0234350c92685819f/448-252
"Creating Realistic French Fries in Cinema4D & Octane",1343930852,https://www.skillshare.com/classes/holberton-image-search/1343930852,https://static.skillshare.com/uploads/video/thumbnails/d9735dfa95daf9983c81e78cfdeda88d/448-252
"Art School Boot Camp: Drawing Rebellious Anatomy",830791855,https://www.skillshare.com/classes/holberton-image-search/830791855,https://static.skillshare.com/uploads/video/thumbnails/853b6d8626753c07d61dcd21415eb3d0/448-252
"Watercolors for All - Fun + Simple Exercises to Get Started",1644132153,https://www.skillshare.com/classes/holberton-image-search/1644132153,https://static.skillshare.com/uploads/video/thumbnails/87c029de45a82ee47de3e45cc5e2b28f/448-252
"How To Customize Fonts For Logo Design",698756370,https://www.skillshare.com/classes/holberton-image-search/698756370,https://static.skillshare.com/uploads/video/thumbnails/c733104775bfb7864e3145e00869aaaf/448-252
"Owl Doodle - Drawing Fun Using Simple Shapes",1737582412,https://www.skillshare.com/classes/holberton-image-search/1737582412,https://static.skillshare.com/uploads/video/thumbnails/432e3253ba302185c8370831cd55e82b/448-252
"Pinterest Marketing: The How & Why for Creative Entrepreneurs",1482012461,https://www.skillshare.com/classes/holberton-image-search/1482012461,https://static.skillshare.com/uploads/video/thumbnails/cf0403da55f1f6bda8ee6c6b6f7b6812/448-252
"The Scientific Method for Artists: Find Inspiration, Get Motivated and Grow your Creative Skills",1316559137,https://www.skillshare.com/classes/holberton-image-search/1316559137,https://static.skillshare.com/uploads/video/thumbnails/f70f46b8ceb80ea26993fd530f056d6d/448-252
"Large Scale Repeating Patterns in Illustrator - an Illustrator for Lunch™ class",1842453075,https://www.skillshare.com/classes/holberton-image-search/1842453075,https://static.skillshare.com/uploads/video/thumbnails/e0274014e5f1e6532e9c52658cb8e9bd/448-252
"PLEIN AIR PAINTING WITH WATERCOLORS 101 - SUPPLIES AND GEAR",1217505584,https://www.skillshare.com/classes/holberton-image-search/1217505584,https://static.skillshare.com/uploads/video/thumbnails/e06b2595bc4387d3d607bdab3ed03fc0/448-252
"Goal-Setting for Creative Projects",1137964638,https://www.skillshare.com/classes/holberton-image-search/1137964638,https://static.skillshare.com/uploads/video/thumbnails/4970d539c04cc2c216a7535747d8c4b4/448-252
"Easy Clay Earrings: Learn 3 Styles using Oven-Bake Clay",1419362167,https://www.skillshare.com/classes/holberton-image-search/1419362167,https://static.skillshare.com/uploads/video/thumbnails/00f5e5f9835393097e908999aebbb648/448-252
"Prepare Your Files for Print | Using Adobe Illustrator, Photoshop & Indesign",541898600,https://www.skillshare.com/classes/holberton-image-search/541898600,https://static.skillshare.com/uploads/video/thumbnails/811215872968e2be52de02b38aeec044/448-252
"Urban Sketching with Markers",1127147321,https://www.skillshare.com/classes/holberton-image-search/1127147321,https://static.skillshare.com/uploads/video/thumbnails/63f121b0e1978ff64a3d820f700898a4/448-252
"Design Collections for Art Licensing",879734881,https://www.skillshare.com/classes/holberton-image-search/879734881,https://static.skillshare.com/uploads/video/thumbnails/f47f0ba3278d2d67a4b0c26a51cd9596/448-252
"Insect Illustrations and Animations in Procreate",1755581546,https://www.skillshare.com/classes/holberton-image-search/1755581546,https://static.skillshare.com/uploads/video/thumbnails/873cc4ceb92b82129e75147eda1a6747/448-252
"The Ultimate Guide to 3D in After Effects",99410767,https://www.skillshare.com/classes/holberton-image-search/99410767,https://static.skillshare.com/uploads/video/thumbnails/20749e7a1e9133ea5f4011107815469e/448-252
"HTML & CSS Coding for Beginners: Build your own portfolio!",1215496622,https://www.skillshare.com/classes/holberton-image-search/1215496622,https://static.skillshare.com/uploads/video/thumbnails/30bcb8c78045a31b3b8ea7816a9a4b25/448-252
"Vector Illustration: Using Creative Constraints to Find Your Style",1427953859,https://www.skillshare.com/classes/holberton-image-search/1427953859,https://static.skillshare.com/uploads/video/thumbnails/c0bdf9c0ae89ece4de71ebe36f078fdd/448-252
"Painting Fur - Mastering the Wet on Wet Technique",1643583924,https://www.skillshare.com/classes/holberton-image-search/1643583924,https://static.skillshare.com/uploads/video/thumbnails/4725e64cb1b886e3793e722b8df98bb9/448-252
"Hand Lettering for Surface Designers: Build a Skill that Will Wow Your Clients",1471753011,https://www.skillshare.com/classes/holberton-image-search/1471753011,https://static.skillshare.com/uploads/video/thumbnails/7925cab4ac909c2090398e3c476668d4/448-252
"Create an Intricate, Editable Floral Pattern in Procreate",126953038,https://www.skillshare.com/classes/holberton-image-search/126953038,https://static.skillshare.com/uploads/video/thumbnails/bf695e2f1c4f63f3acbfac0490ac4111/448-252
"Color Therapy: Stress Relief and Unwind with Watercolor",385071471,https://www.skillshare.com/classes/holberton-image-search/385071471,https://static.skillshare.com/uploads/video/thumbnails/f0ca826fbfce52e17dda3ce79e3dbd23/448-252
"Botanical Drawing: Learn to Sketch Flowers, and Arrange in Adobe Illustrator",1353430575,https://www.skillshare.com/classes/holberton-image-search/1353430575,https://static.skillshare.com/uploads/video/thumbnails/1aa0aec0346743601e06320a6a307dba/448-252
"Fixing Client Files: Missing Fonts, Low Res Images & Other Issues",587006611,https://www.skillshare.com/classes/holberton-image-search/587006611,https://static.skillshare.com/uploads/video/thumbnails/35755669661808a86304a5cd4e753861/448-252
"Illustrating in Procreate: Draw a fox!",1800324334,https://www.skillshare.com/classes/holberton-image-search/1800324334,https://static.skillshare.com/uploads/video/thumbnails/16b5dda17780247ccaf01a437b1099ff/448-252
"Animating Emotions: Using Movement to Convey a Feeling",918173648,https://www.skillshare.com/classes/holberton-image-search/918173648,https://static.skillshare.com/uploads/video/thumbnails/93f8b1e11e2af97bf6849cf3cfb69845/448-252
"Procreate® Animation for Illustrators and Surface Designers: Make your Artwork Pop!",781519267,https://www.skillshare.com/classes/holberton-image-search/781519267,https://static.skillshare.com/uploads/video/thumbnails/a63545e5429b8ec0bab0ca4cec18342d/448-252
"iPad Art: Paint Semi-Abstract Landscapes in Procreate",1968899436,https://www.skillshare.com/classes/holberton-image-search/1968899436,https://static.skillshare.com/uploads/video/thumbnails/6cb243f3b94f949bf99e1043c6387357/448-252
"Spring Color Trends: Learn mixing On-Trend Color Schemes in Watercolor",1035972196,https://www.skillshare.com/classes/holberton-image-search/1035972196,https://static.skillshare.com/uploads/video/thumbnails/d8a47876a2e1a0ea445f45bccfee6e8e/448-252
"Unlocking Your Potential: 5 Exercises to Build Creative Confidence",1109027672,https://www.skillshare.com/classes/holberton-image-search/1109027672,https://static.skillshare.com/uploads/video/thumbnails/0fdb846072a44e16ad14106a1dbf2e78/448-252
"Watercolour Greenery: How to Paint Trees",19453402,https://www.skillshare.com/classes/holberton-image-search/19453402,https://static.skillshare.com/uploads/video/thumbnails/e88f85f9cffa380c48e7b0f4f35657c7/448-252
"Storytelling in Film: Using Cinematography to Convey Emotion",1706353069,https://www.skillshare.com/classes/holberton-image-search/1706353069,https://static.skillshare.com/uploads/video/thumbnails/08abaeefb9738b8ec906c371114ed1e2/448-252
"Explore Adobe Fresco: Paint with Vector, Pixel and Live Brushes",101537411,https://www.skillshare.com/classes/holberton-image-search/101537411,https://static.skillshare.com/uploads/video/thumbnails/379b1e1d0de67bb29b33b2b786392e56/448-252
"Create an Ocean Loop in Cinema 4D and After Effects",1465580507,https://www.skillshare.com/classes/holberton-image-search/1465580507,https://static.skillshare.com/uploads/video/thumbnails/d59aebd7807d0db39a8df3dcb5880360/448-252
"Easy Isometric Art in Illustrator - An Illustrator for Lunch™ course",1559005110,https://www.skillshare.com/classes/holberton-image-search/1559005110,https://static.skillshare.com/uploads/video/thumbnails/9952d0b27119299024a5ff1a9a606f48/448-252
"Wildflowers in Procreate",1023075520,https://www.skillshare.com/classes/holberton-image-search/1023075520,https://static.skillshare.com/uploads/video/thumbnails/ebffa068b3d17f5cdfb755d36eae8a86/448-252
"Daily Art Practice: 14 Day Mindset Challenge",1518482738,https://www.skillshare.com/classes/holberton-image-search/1518482738,https://static.skillshare.com/uploads/video/thumbnails/26ae6c6a70f64987963f5856fc7bf554/448-252
"The Procreate Class: Beginner Basics + Beyond",1009755670,https://www.skillshare.com/classes/holberton-image-search/1009755670,https://static.skillshare.com/uploads/video/thumbnails/52872e61fa3a803934c180cfbc40b248/448-252
"Fur, Feathers, and Scales: Painting Animal Textures in Watercolors",308938988,https://www.skillshare.com/classes/holberton-image-search/308938988,https://static.skillshare.com/uploads/video/thumbnails/34a34ef7cce929e07d5921341953fd64/448-252
"Animated Typography in After Effects: Layering Simple Effects for a Complex Look",1960968576,https://www.skillshare.com/classes/holberton-image-search/1960968576,https://static.skillshare.com/uploads/video/thumbnails/21ff89e3d386336152984dc3f35236b8/448-252
"Pattern Design: Textured Motifs & Patterns | Using Adobe Illustrator, Procreate & Adobe Fresco",1450403680,https://www.skillshare.com/classes/holberton-image-search/1450403680,https://static.skillshare.com/uploads/video/thumbnails/440fe66459c0a56699796a9f0a39a737/448-252
"Intro to Package Design: Creativity, Print Production, and Hot Sauce",1853079202,https://www.skillshare.com/classes/holberton-image-search/1853079202,https://static.skillshare.com/uploads/video/thumbnails/7039dc603fc2b0c11f2da32f3b80eff7/448-252
"Valentine's Day Card - learn Trendy Watercolor Techniques",2010488112,https://www.skillshare.com/classes/holberton-image-search/2010488112,https://static.skillshare.com/uploads/video/thumbnails/299456e520d6da4a34248c487b8ecf84/448-252
"iPhone Filmmaking: Create Cinematic Video With Your Phone",1157437792,https://www.skillshare.com/classes/holberton-image-search/1157437792,https://static.skillshare.com/uploads/video/thumbnails/a6653959af910b1d4affae705a3efaa9/448-252
"Postcards from Here: Playing with Ink",2020077084,https://www.skillshare.com/classes/holberton-image-search/2020077084,https://static.skillshare.com/uploads/video/thumbnails/cedf1b7bf4b6635cb1740d8ff03b0f54/448-252
"SEO for photographers",1487374279,https://www.skillshare.com/classes/holberton-image-search/1487374279,https://static.skillshare.com/uploads/video/thumbnails/a10d2c73c9f4e42bdd2048958a391379/448-252
"Just Start: 5 Exercises That Lead To Big Wins",1772589411,https://www.skillshare.com/classes/holberton-image-search/1772589411,https://static.skillshare.com/uploads/video/thumbnails/93de4044ed26de3ee8783702bb15fe0e/448-252
"Create Radiolarians - An Illustrator for Lunch™ class",2019256521,https://www.skillshare.com/classes/holberton-image-search/2019256521,https://static.skillshare.com/uploads/video/thumbnails/b7f8a68906c63b2da8747383cb7cd8ab/448-252
"Watercolor Workout: 14 Days of Drills to Advance Your Skills",1080367032,https://www.skillshare.com/classes/holberton-image-search/1080367032,https://static.skillshare.com/uploads/video/thumbnails/164c73c5c12c553b2c8ee85e0c5aa4e6/448-252
"Premiere Pro Lumetri 2020: Color Correct & Color Grade like a Pro",772047744,https://www.skillshare.com/classes/holberton-image-search/772047744,https://static.skillshare.com/uploads/video/thumbnails/c4558080dc2095d4bbdfed3de7eeca9c/448-252
"Painting with Thread: Modern Embroidery for Beginners",1597015420,https://www.skillshare.com/classes/holberton-image-search/1597015420,https://static.skillshare.com/uploads/video/thumbnails/2b3e07d5445fd31898cb84dd32dc9784/448-252
"Adobe Illustrator & Gouache: How to Successfully Vectorize Your Paint",1347688990,https://www.skillshare.com/classes/holberton-image-search/1347688990,https://static.skillshare.com/uploads/video/thumbnails/aee63906bfc25e5a4e55db0b41d25088/448-252
"Spark creativity with your kids!",730922294,https://www.skillshare.com/classes/holberton-image-search/730922294,https://static.skillshare.com/uploads/video/thumbnails/536c8ab7bac9095fb1494e9060a45a67/448-252
"Digital Illustration on the iPad: A Can Of Worms",109204668,https://www.skillshare.com/classes/holberton-image-search/109204668,https://static.skillshare.com/uploads/video/thumbnails/be7b453e968a4f616537212e86997d1d/448-252
"Watercolor Mosaics",1413829613,https://www.skillshare.com/classes/holberton-image-search/1413829613,https://static.skillshare.com/uploads/video/thumbnails/68fe871a41b94e93926cf63b30496238/448-252
"Confidence for Creatives: replacing imposter syndrome and self doubt with gratitude and compassion",113053678,https://www.skillshare.com/classes/holberton-image-search/113053678,https://static.skillshare.com/uploads/video/thumbnails/2a6fab60dde5ac99d6db55b90a44bd6f/448-252
"Beginner Bootstrap 4: Hand code beautiful responsive websites fast",1765302672,https://www.skillshare.com/classes/holberton-image-search/1765302672,https://static.skillshare.com/uploads/video/thumbnails/b233532e60564f199b646e6bee861e58/448-252
"Art Photography: How to Photograph Your Art and Illustrations",561643696,https://www.skillshare.com/classes/holberton-image-search/561643696,https://static.skillshare.com/uploads/video/thumbnails/66b0bb11acabc9f5528eb8376060c198/448-252
"A Fun Game to Spark Creativity: Play, Break Rules, Make Art",679669885,https://www.skillshare.com/classes/holberton-image-search/679669885,https://static.skillshare.com/uploads/video/thumbnails/21cc72b6913161f35e699e57911722f2/448-252
"Explore Winter in Your Botanical Sketchbook",1844170411,https://www.skillshare.com/classes/holberton-image-search/1844170411,https://static.skillshare.com/uploads/video/thumbnails/4bb3f254297bb0a21ed56f64c8a07d1c/448-252
"Instagram Carousels: Grow Your Following With Magnetic Content",509753423,https://www.skillshare.com/classes/holberton-image-search/509753423,https://static.skillshare.com/uploads/video/thumbnails/5ff3b90a3d4ddb39da73345be0750996/448-252
"Supercharge your CSS Development with Sass (CSS Programming)",321384703,https://www.skillshare.com/classes/holberton-image-search/321384703,https://static.skillshare.com/uploads/video/thumbnails/7ca49c0619c56129627b4ff51f2844b4/448-252
"Develop Your Illustration Style: Draw a Cat",944857799,https://www.skillshare.com/classes/holberton-image-search/944857799,https://static.skillshare.com/uploads/video/thumbnails/29d82b72ce1d31cb7b6dfc2212b1a2e2/448-252
"Art Trends 2020 - 2021 : Build a Successful Portfolio",1517393080,https://www.skillshare.com/classes/holberton-image-search/1517393080,https://static.skillshare.com/uploads/video/thumbnails/7583cd9040d2deb02f0e39386e3b5b67/448-252
"Fun With Spaces: Create a Stylised Scene in Procreate + Animation",1793102068,https://www.skillshare.com/classes/holberton-image-search/1793102068,https://static.skillshare.com/uploads/video/thumbnails/2fb98df157458dc8155fab93dd3ae2f8/448-252
"Create A Retro Delorean Loop in Cinema 4D and After Effects",91727253,https://www.skillshare.com/classes/holberton-image-search/91727253,https://static.skillshare.com/uploads/video/thumbnails/de74e8425f978ca503ef7e6d03160ab9/448-252
"Sweet Spots: Expressing Big Ideas in Small Editorial Illustrations",422810879,https://www.skillshare.com/classes/holberton-image-search/422810879,https://static.skillshare.com/uploads/video/thumbnails/a10f929722ea7f934dee657b53c3abb1/448-252
"Brand Resolutions 2020 - Goal setting for the next decade",1196902414,https://www.skillshare.com/classes/holberton-image-search/1196902414,https://static.skillshare.com/uploads/video/thumbnails/d1ea354ec016bf8f4e832d972a3c8f57/448-252
"Fun Easygoing Painting: Watercolor & Oil Pastel + Magic Tools",1485432147,https://www.skillshare.com/classes/holberton-image-search/1485432147,https://static.skillshare.com/uploads/video/thumbnails/afad831539fe020519ff42918c3c833d/448-252
"Film Lighting Made Simple",883748020,https://www.skillshare.com/classes/holberton-image-search/883748020,https://static.skillshare.com/uploads/video/thumbnails/d3e7470c4e97c5876460ed826ccc6030/448-252
"iPad Art: Create Line Art and Coloring Pages in Procreate",1174385330,https://www.skillshare.com/classes/holberton-image-search/1174385330,https://static.skillshare.com/uploads/video/thumbnails/32a3bb74655fa0d513d68c0aa57046d1/448-252
"Create Color Schemes in Illustrator for Using, Sharing & Selling - An Illustrator for Lunch™ Class",356866829,https://www.skillshare.com/classes/holberton-image-search/356866829,https://static.skillshare.com/uploads/video/thumbnails/a15aa7d549debc0b0fedccb790e5f459/448-252
"Acrylic Landscapes on the iPad in Procreate",114188688,https://www.skillshare.com/classes/holberton-image-search/114188688,https://static.skillshare.com/uploads/video/thumbnails/302a76db559d07a6cd184a1e51e44a2e/448-252
"DIY Concrete-Look Backdrops for Product Photography",2108674742,https://www.skillshare.com/classes/holberton-image-search/2108674742,https://static.skillshare.com/uploads/video/thumbnails/01474dc63fdebb82b019b12e2030ab10/448-252
"Code your own portfolio – HTML & CSS basics",1042721241,https://www.skillshare.com/classes/holberton-image-search/1042721241,https://static.skillshare.com/uploads/video/thumbnails/98f99191fdb3cbcd9a7c33793a2d62d1/448-252
"Focus to Flourish: Productivity Skills for the Creative",111033882,https://www.skillshare.com/classes/holberton-image-search/111033882,https://static.skillshare.com/uploads/video/thumbnails/3b0ace6d0296d780ed70c74d3c97144b/448-252
"How to Discover Profitable Design Trends Before Anyone Else – and Create Artwork with Mass Appeal",1906420066,https://www.skillshare.com/classes/holberton-image-search/1906420066,https://static.skillshare.com/uploads/video/thumbnails/a434812568f4032cddc630751ec48657/448-252
"Watercolor Landscape - Dancing Northern Lights and Pine Forest",1797522122,https://www.skillshare.com/classes/holberton-image-search/1797522122,https://static.skillshare.com/uploads/video/thumbnails/ca2ca2083991d35fe889377312ccae84/448-252
"Symmetrical Illustration: Creating Modern Mirrored Art In Illustrator",1371439565,https://www.skillshare.com/classes/holberton-image-search/1371439565,https://static.skillshare.com/uploads/video/thumbnails/7f15e2db278fb8dd0d3ff1359eaee370/448-252
"Creating A Cloud Using TurbulenceFD",974828670,https://www.skillshare.com/classes/holberton-image-search/974828670,https://static.skillshare.com/uploads/video/thumbnails/df42edb39e4fb30518e839189b6ad208/448-252
"Watercolor Painting for Mindfulness and Relaxation: Creative Self Care 2.0",1127290586,https://www.skillshare.com/classes/holberton-image-search/1127290586,https://static.skillshare.com/uploads/video/thumbnails/22fd7b99fea380c5f9ca65b63db2badd/448-252
"Visual Journaling: Drawing Your Feelings",250509687,https://www.skillshare.com/classes/holberton-image-search/250509687,https://static.skillshare.com/uploads/video/thumbnails/0f5942970ee4d7d4f05949411720b292/448-252
"4 Illustrator Shading Techniques - An Illustrator for Lunch™ class - Simple Highlights & Shadows",1750127880,https://www.skillshare.com/classes/holberton-image-search/1750127880,https://static.skillshare.com/uploads/video/thumbnails/3af59bbb72bb5340a8f99b28e2a3424b/448-252
"Botanical Illustration: Draw a Flower Flat Lay",1899856689,https://www.skillshare.com/classes/holberton-image-search/1899856689,https://static.skillshare.com/uploads/video/thumbnails/970a57093e58e34ebeb973e40c81a18c/448-252
"WATERCOLOR LANDSCAPE - BACKLIT SNOWY PINE TREES",2066759852,https://www.skillshare.com/classes/holberton-image-search/2066759852,https://static.skillshare.com/uploads/video/thumbnails/08f2a18852d5e0f0635ad9c7fc069397/448-252
"Level Up Your Pattern Design | Advanced Techniques using Adobe Illustrator",273250143,https://www.skillshare.com/classes/holberton-image-search/273250143,https://static.skillshare.com/uploads/video/thumbnails/8bee9079db7e8dce4290b18eb4a6f0a5/448-252
"Create a Christmas Themed Postcard",1140683775,https://www.skillshare.com/classes/holberton-image-search/1140683775,https://static.skillshare.com/uploads/video/thumbnails/9433e1a3970996b1878ca604e0699107/448-252
